symbol,entry_time,entry_price,exit_time,exit_price,raw_return_pct,net_return_pct,resolved,bars_held,days_held,signal_volume_ratio
NEARUSDT,2022-11-21 21:00:00+00:00,1.539,2022-11-23 23:00:00+00:00,1.6929,10.0,9.8,True,50,2.08,2.754
DOTUSDT,2022-11-22 08:00:00+00:00,5.06,2022-12-02 10:00:00+00:00,5.566,10.0,9.8,True,242,10.08,2.899
AAVEUSDT,2022-11-22 08:00:00+00:00,53.9,2022-11-23 07:00:00+00:00,59.290000000000006,10.0,9.8,True,23,0.96,3.098
AAVEUSDT,2022-11-22 14:00:00+00:00,54.1,2022-11-24 02:00:00+00:00,59.510000000000005,10.0,9.8,True,36,1.5,12.049
TRXUSDT,2022-11-22 14:00:00+00:00,0.05043,2022-12-10 16:00:00+00:00,0.05547300000000001,10.0,9.8,True,434,18.08,2.901
DOTUSDT,2022-11-22 14:00:00+00:00,5.3,2023-01-14 06:00:00+00:00,5.83,10.0,9.8,True,1264,52.67,2.954
CHZUSDT,2022-11-22 14:00:00+00:00,0.1849,2023-01-21 13:00:00+00:00,0.1363,-26.284,-26.484,False,1439,59.96,2.874
SOLUSDT,2022-11-22 14:00:00+00:00,11.87,2022-11-23 02:00:00+00:00,13.057,10.0,9.8,True,12,0.5,3.696
AAVEUSDT,2022-11-22 16:00:00+00:00,54.7,2022-11-25 15:00:00+00:00,60.17000000000001,10.0,9.8,True,71,2.96,2.716
AAVEUSDT,2022-11-22 19:00:00+00:00,56.7,2022-11-26 17:00:00+00:00,62.37000000000001,10.0,9.8,True,94,3.92,10.905
